,netcharge,netural,gravy,molecularweight,neg,pos,hphobic,instability,pI,aromaticity
0,2.515601733,0.328125,-0.850520833,44301.9004,0.114583333,0.1484375,0.408854167,52.59114583,8.49432373,0.106770833
1,-11.06085246,0.313131313,-0.095151515,53712.5259,0.115151515,0.103030303,0.468686869,29.93151515,5.172180176,0.088888889
2,-1.234752653,0.25462963,-0.009722222,24341.7618,0.106481481,0.115740741,0.523148148,22.26018519,6.297668457,0.12037037
3,-24.77124662,0.351800554,-0.891135734,40551.5944,0.182825485,0.135734072,0.329639889,57.32576177,4.683288574,0.066481994
4,-4.515385377,0.305982906,-0.363931624,68835.027,0.121367521,0.131623932,0.441025641,37.48208547,6.192810059,0.105982906
5,-11.14141711,0.330316742,-0.562895928,24516.1272,0.162895928,0.131221719,0.375565611,46.50135747,4.896057129,0.040723982
6,-17.36757598,0.315492958,-0.308450704,79416.8452,0.125352113,0.132394366,0.426760563,40.31746479,5.710266113,0.069014085
7,16.94713602,0.340425532,-0.554137116,47998.2032,0.089834515,0.141843972,0.427895981,48.92392435,9.675109863,0.09929078
8,-16.02902369,0.244505495,-1.028846154,40735.7953,0.211538462,0.178571429,0.365384615,52.47585165,5.065979004,0.052197802
9,3.352842018,0.354961832,-0.608015267,28974.2621,0.106870229,0.15648855,0.381679389,52.51530534,8.538757324,0.057251908
10,-12.11015481,0.295634921,-0.429365079,111501.784,0.151785714,0.152777778,0.399801587,40.03364087,5.819519043,0.051587302
11,-9.116544467,0.345541401,-0.471656051,70641.5656,0.111464968,0.121019108,0.421974522,48.04874204,5.926086426,0.092356688
12,-3.642964607,0.386175808,-0.453042825,143299.3589,0.085649887,0.096919609,0.431254696,45.58670173,6.506286621,0.07362885
13,-23.44120181,0.302521008,-0.721008403,13171.035,0.260504202,0.067226891,0.369747899,47.35882353,3.815124512,0.025210084
14,11.99539778,0.267148014,-0.306137184,31443.2096,0.108303249,0.173285199,0.451263538,42.06826715,9.437561035,0.086642599
15,-29.98801882,0.33271719,-0.621072089,61011.9186,0.155268022,0.129390018,0.382624769,50.76822551,4.916442871,0.077634011
16,15.19974031,0.299180328,-0.438934426,56011.4778,0.102459016,0.149590164,0.448770492,35.67952869,9.320129395,0.110655738
17,-21.84830288,0.322891566,-0.627228916,47293.5919,0.168674699,0.134939759,0.373493976,56.75253012,4.928894043,0.093975904
18,1.275665918,0.245614035,0.5,26275.7744,0.074561404,0.118421053,0.561403509,30.97285088,7.783752441,0.135964912
19,-21.0781039,0.265993266,-0.595622896,34324.2044,0.191919192,0.134680135,0.407407407,51.49461279,4.639953613,0.094276094
20,0.71634321,0.373205742,-0.980382775,23144.2927,0.14354067,0.157894737,0.325358852,47.91435407,7.841125488,0.062200957
21,4.776235655,0.257309942,0.003508772,19342.4324,0.099415205,0.14619883,0.497076023,23.21754386,9.395568848,0.076023392
22,-6.212565893,0.307142857,-0.477142857,15839.6423,0.135714286,0.114285714,0.442857143,38.41857143,5.012390137,0.092857143
23,-51.36441604,0.309401709,-0.608717949,64942.9203,0.186324786,0.117948718,0.386324786,42.74820513,4.477355957,0.068376068
24,9.548195446,0.330508475,-0.53460452,81241.2312,0.115819209,0.146892655,0.406779661,44.56964689,8.595397949,0.108757062
25,2.383844637,0.311688312,-0.161904762,50302.8223,0.112554113,0.138528139,0.437229437,29.1041342,8.131164551,0.086580087
26,-34.26646436,0.25477707,-0.818471338,18031.0431,0.267515924,0.063694268,0.414012739,46.06433121,3.769348145,0.121019108
27,-11.31300267,0.583710407,0.066063348,21338.576,0.063348416,0.022624434,0.330316742,18.63393665,4.041931152,0.058823529
28,9.538693157,0.310699588,-0.255144033,57420.5349,0.098765432,0.144032922,0.446502058,45.25109054,8.772644043,0.127572016
29,-7.625779574,0.3126294,-0.234782609,53529.2835,0.115942029,0.120082816,0.451345756,41.29730849,5.757263184,0.084886128
30,-44.06531093,0.333333333,-0.738680927,62584.1693,0.176470588,0.122994652,0.367201426,54.69037433,4.604064941,0.048128342
31,-4.023489323,0.354969574,-0.572616633,55968.3222,0.127789047,0.131845842,0.385395538,54.3821501,6.012268066,0.0831643
32,-2.390682515,0.228571429,-0.955238095,12533.1203,0.219047619,0.20952381,0.342857143,47.3152381,5.539978027,0.057142857
33,17.80285713,0.227513228,-0.387830688,21679.3216,0.100529101,0.216931217,0.455026455,23.63227513,9.902770996,0.068783069
34,14.67720372,0.310606061,-0.73030303,14407.3589,0.083333333,0.212121212,0.393939394,39.525,10.09954834,0.053030303
35,-1.075696358,0.302447552,-0.527272727,65742.7569,0.132867133,0.157342657,0.407342657,40.90159091,6.780822754,0.097902098
36,-3.330766254,0.362745098,-0.449509804,22823.3775,0.132352941,0.12745098,0.37745098,37.19215686,5.50579834,0.083333333
37,3.417131732,0.245954693,-0.682200647,35870.4864,0.145631068,0.187702265,0.420711974,69.71524272,8.672180176,0.074433657
38,7.928042372,0.361643836,-1.364931507,41226.5807,0.17260274,0.205479452,0.260273973,72.39205479,9.296447754,0.038356164
39,-3.413775553,0.346534653,-0.228712871,10714.9274,0.138613861,0.118811881,0.396039604,49.96039604,5.039611816,0.01980198
40,-11.3620514,0.278805121,-0.472972973,81890.1196,0.143669986,0.143669986,0.433854908,37.68906117,5.690368652,0.113798009
41,-3.049039311,0.266375546,0.094759825,25702.6144,0.11790393,0.126637555,0.489082969,41.00266376,5.975891113,0.087336245
42,0.709024035,0.294392523,-0.61682243,24594.6298,0.121495327,0.186915888,0.397196262,41.47901869,7.243103027,0.079439252
43,-23.18445727,0.252025203,0.187938794,126287.087,0.107110711,0.108910891,0.531953195,42.49525653,5.593444824,0.112511251
44,-12.49656322,0.342168675,-0.393253012,46149.1044,0.122891566,0.118072289,0.41686747,37.17831325,5.350280762,0.079518072
45,-27.23114071,0.244897959,-0.899489796,22315.2048,0.260204082,0.132653061,0.362244898,50.34132653,4.324035645,0.040816327
46,-4.148878351,0.321507761,-0.177605322,50592.0897,0.106430155,0.128603104,0.44345898,45.61179601,6.320251465,0.084257206
47,15.86304234,0.27804878,-1.045853659,23638.7755,0.12195122,0.219512195,0.380487805,43.15273171,9.891784668,0.07804878
48,-20.92403703,0.330935252,-0.018705036,60724.6813,0.118705036,0.09352518,0.456834532,44.84820144,4.857849121,0.037769784
49,-11.76492855,0.335616438,-0.75890411,33456.7141,0.154109589,0.140410959,0.369863014,51.01681507,5.161804199,0.078767123
50,13.76582175,0.356164384,-0.669863014,16400.4262,0.068493151,0.184931507,0.390410959,43.46041096,10.31268311,0.109589041
51,20.48993653,0.37408313,-0.721026895,45651.9324,0.083129584,0.158924205,0.383863081,70.70757946,10.31109619,0.056234719
52,-7.133078982,0.292,-0.4276,29008.7181,0.148,0.136,0.424,45.53404,5.280212402,0.092
53,-9.967801474,0.301818182,-0.474181818,31831.2643,0.141818182,0.127272727,0.429090909,31.79058182,5.14654541,0.141818182
54,-7.366708116,0.324503311,0.408830022,49840.4196,0.081677704,0.070640177,0.523178808,36.08677704,5.063903809,0.094922737
55,-19.58421089,0.33125,-0.283125,35159.6653,0.15,0.11875,0.4,39.634375,4.791320801,0.071875
56,8.046779644,0.271375465,-0.56802974,31256.317,0.111524164,0.163568773,0.453531599,40.64758364,9.354797363,0.111524164
57,-1.239988997,0.326732673,-0.39009901,11460.8884,0.118811881,0.138613861,0.415841584,36.66039604,6.269836426,0.089108911
58,9.507865426,0.23853211,-1.267889908,12716.7127,0.174311927,0.266055046,0.321100917,42.45137615,9.652770996,0.036697248
59,8.98566618,0.346875,-0.776875,35623.5729,0.115625,0.159375,0.378125,54.609375,9.574768066,0.053125
